item_id,rule_ref,title,description
51,T.2.4,HARNESS MOUNTS,"Belts must be protected by firewalls. All belts attached securely to Primary Structure. Tabs 1.6 mm (0.063"") thick min, 60 mm² shear area; tabs combining lap & sub belts 90 mm². Double-shear preferred. Tabs welded on both sides; bolt-on tabs use minimum of two 1/4"" dia Grade 5 bolts. Tabs aligned with load direction of belt, may be pre-bent."
52,T.2.5,LAP BELT POSITION,"Pivoting mounting using eye bolt or shoulder bolt (no tube wrap). Not redirected by seat. Belt centerline max 3"" forward of seatback-seatbottom junction in side view."
53,T.2.6,SHOULDER HARNESS POSITION,"Mounting points 175-235 mm (~7"" - 9"") apart. Tube wrap OK."
54,T.2.7,SUB BELT POSITION,"Sub belts cannot be re-directed by anything other than the driver's body."
55,"T.2.5.8, T.2.6.3, T.2.7.4",BELT ATTACHMENT FASTENERS,"Lap & Shoulder: 10 mm Grade 8.8 (3/8"" SAE Grade 5). Sub: 8 mm (5/16""), or as specified by harness manufacturer. Pins required in clip-brackets. Special rules for eye-type attachments: aligned, fully tight, see T.2.4.5. CRITICAL (positive locking) per T.8."
56,T.2.8,HEAD RESTRAINT,"Min 150 mm width, 235 cm² area AND height adjustment of 175 mm (7""); OR 280 mm (11"") height. 38 mm (1.5"") thick. Near vertical. Pad and mount must take 900 N rearward and 300 N lateral forces. Energy absorbing material: SFI Standard 45.2 or FIA Tech List 17 (CONFOR blue CF45 or CF45M), with 20mm inspection hole in its cover. Mount must be within Main Hoop Bracing envelope, or add extra tube per F.5.10."
S33,T.7.1,AERODYNAMIC DEVICES,"No powered ground effects. Securely mounted — no oscillation or excessive movement. Applies to wings, undertray, splitter, endplates, vanes, etc. Vertical keepout zones 75mm in front & behind tires."
S34,T.7.1,EDGE RADII,"Horizontal leading edges min 5 mm radius. Vertical forward-facing edges min 3 mm radius. Other edges: not sharp per GR.1.5."
S35,T.7.4,FRONT MOUNTED AERO,"Max forward: 700 mm ahead of the front tires. Max width: OUTSIDE of the front tires (at hub height). Max height: 250 mm if in front of tires (without driver)."
S36,"T.7.5-8",REAR MOUNTED AERO,"Max rearward: 250 mm behind the rear tires. Max forward: Headrest support (undertrays exempt). Max width: INSIDE of the rear tires (at hub height). Max height: 1.2 m above ground (without driver)."
S37,"T.7.5-8",AERO BETWEEN WHEEL CENTERLINES,"Max width: Line between front & rear tires (at hub height). Max height: 500 mm (exempt if within 400 mm of car centerline)."
